column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
arc-agi-2/b10624e5_0,20,6,0.23076923076923078,0.19,0.3433656942677879,0.0,0.0,0.1,0.0,1.0,identity,0.0,0.1,0,0
arc-agi-2/b5ca7ac4_0,20,6,0.23076923076923078,0.16,0.31999999999999995,0.0,0.0,0.05,0.0,1.0,identity,0.0,0.05,0,0
arc-agi-2/b6f77b65_0,20,6,0.23076923076923078,0.17,0.3116087290176576,0.0,0.0,0.1,0.0,1.0,identity,0.0,0.1,0,0
arc-agi-2/b6f77b65_1,20,6,0.23076923076923078,0.09000000000000001,0.20469489490458723,0.0,0.0,0.0,0.0,0.8,identity,0.0,0.20469489490458723,0,0
arc-agi-2/bf45cf4b_0,20,6,0.23076923076923078,0.4025,0.42792376657530956,0.2,0.0,1.0,0.0,1.0,identity,0.2,1.0,0,0
arc-agi-2/c4d067a0_0,20,6,0.23076923076923078,0.25,0.4141255848169731,0.0,0.0,0.35000000000000003,0.0,1.0,identity,0.0,0.35000000000000003,0,0
arc-agi-2/c7f57c3e_0,20,6,0.23076923076923078,0.13999999999999999,0.2690724809414742,0.0,0.0,0.1,0.0,1.0,identity,0.0,0.1,0,0
arc-agi-2/cb2d8a2c_1,20,6,0.23076923076923078,0.2,0.36878177829171555,0.0,0.0,0.1,0.0,1.0,identity,0.0,0.1,0,0
arc-agi-2/cbebaa4b_0,20,6,0.23076923076923078,0.12,0.2712931993250107,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.2712931993250107,0,0
arc-agi-2/cbebaa4b_1,20,6,0.23076923076923078,0.09,0.27184554438136377,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.27184554438136377,0,0
arc-agi-2/d35bdbdc_0,20,6,0.23076923076923078,0.1,0.20493901531919198,0.0,0.0,0.05,0.0,0.8,identity,0.0,0.05,0,0
arc-agi-2/d35bdbdc_1,20,6,0.23076923076923078,0.06999999999999999,0.21236760581595304,0.0,0.0,0.0,0.0,0.8,identity,0.0,0.21236760581595304,0,0
arc-agi-2/d59b0160_0,20,6,0.23076923076923078,0.15999999999999998,0.3006659275674582,0.0,0.0,0.1,0.0,1.0,identity,0.0,0.1,0,0
arc-agi-2/d8e07eb2_1,20,6,0.23076923076923078,0.22000000000000003,0.3682390527904394,0.0,0.0,0.3,0.0,1.0,identity,0.0,0.3,0,0
arc-agi-2/db0c5428_0,20,6,0.23076923076923078,0.12999999999999998,0.26286878856189827,0.0,0.0,0.0,0.0,0.8,identity,0.0,0.26286878856189827,0,0
arc-agi-2/db695cfb_0,20,6,0.23076923076923078,0.17666664999999998,0.30715539914223794,0.0,0.0,0.23333325,0.0,1.0,identity,0.0,0.23333325,0,0
arc-agi-2/de809cff_0,20,6,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
arc-agi-2/dfadab01_0,20,6,0.23076923076923078,0.06,0.1562049935181331,0.0,0.0,0.0,0.0,0.6,identity,0.0,0.1562049935181331,0,0
arc-agi-2/e12f9a14_0,20,6,0.23076923076923078,0.06,0.18000000000000002,0.0,0.0,0.0,0.0,0.8,identity,0.0,0.18000000000000002,0,0
arc-agi-2/e12f9a14_1,20,6,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
arc-agi-2/e3721c99_0,20,6,0.23076923076923078,0.13999999999999999,0.26153393661244045,0.0,0.0,0.1,0.0,0.8,identity,0.0,0.1,0,0
arc-agi-2/e3721c99_1,20,6,0.23076923076923078,0.08,0.1833030277982336,0.0,0.0,0.0,0.0,0.6,identity,0.0,0.1833030277982336,0,0
arc-agi-2/e376de54_0,20,6,0.23076923076923078,0.20249999999999999,0.32881415723779295,0.0,0.0,0.2875,0.0,1.0,identity,0.0,0.2875,0,0
arc-agi-2/edb79dae_0,20,6,0.23076923076923078,0.2,0.3577708763999664,0.0,0.0,0.15,0.0,1.0,identity,0.0,0.15,0,0
arc-agi-2/f560132c_0,20,6,0.23076923076923078,0.11000000000000001,0.27910571473905726,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.27910571473905726,0,0
arc-agi-2/f931b4a8_0,20,6,0.23076923076923078,0.20999999999999996,0.3713488925525428,0.0,0.0,0.15,0.0,1.0,identity,0.0,0.15,0,0
arc-agi-2/faa9f03d_0,20,6,0.23076923076923078,0.01,0.04358898943540674,0.0,0.0,0.0,0.0,0.2,identity,0.0,0.04358898943540674,0,0
arc-agi-2/fc7cae8d_0,20,6,0.23076923076923078,0.08,0.20396078054371136,0.0,0.0,0.0,0.0,0.8,identity,0.0,0.20396078054371136,0,0
bfcl/bfcl-irrelevance-103,26,0,0.0,0.9538461538461539,0.13931361750980642,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.13931361750980642,0,0
bfcl/bfcl-irrelevance-123,26,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
bfcl/bfcl-irrelevance-13,26,0,0.0,0.9846153846153847,0.053293871002119284,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.053293871002119284,0,0
bfcl/bfcl-irrelevance-15,26,0,0.0,0.9846153846153847,0.05329387100211929,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.05329387100211929,0,0
bfcl/bfcl-irrelevance-154,26,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,identity,1.0,1.0,0,0
bfcl/bfcl-irrelevance-161,26,0,0.0,0.9230769230769231,0.1576453963993784,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.1576453963993784,0,0
bfcl/bfcl-irrelevance-3,26,0,0.0,0.9769230769230769,0.08461538461538462,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.08461538461538462,0,0
bfcl/bfcl-irrelevance-53,26,0,0.0,0.6230769230769232,0.4199887290682676,0.9,0.25,1.0,0.0,1.0,identity,0.9,0.75,0,0
bfcl/bfcl-live-irrelevance-103-3-0,26,0,0.0,0.8,0.3328201177351375,1.0,0.8,1.0,0.0,1.0,identity,1.0,0.19999999999999996,0,0
bfcl/bfcl-live-irrelevance-122-9-2,26,0,0.0,0.9384615384615385,0.15461347109416754,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.15461347109416754,0,0
bfcl/bfcl-live-irrelevance-125-11-0,26,0,0.0,0.8846153846153846,0.24914053447233303,1.0,0.8500000000000001,1.0,0.0,1.0,identity,1.0,0.1499999999999999,0,0
bfcl/bfcl-live-irrelevance-127-11-2,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
bfcl/bfcl-live-irrelevance-179-30-0,26,0,0.0,0.4846153846153846,0.3849998078843753,0.4,0.2,0.95,0.0,1.0,identity,0.4,0.75,0,0
bfcl/bfcl-live-irrelevance-184-31-3,26,0,0.0,0.7384615384615384,0.32708140962260457,0.9,0.6,1.0,0.0,1.0,identity,0.9,0.4,0,0
bfcl/bfcl-live-irrelevance-192-32-5,26,0,0.0,0.6461538461538462,0.40118168647400915,0.8,0.25,1.0,0.0,1.0,identity,0.8,0.75,0,0
bfcl/bfcl-live-irrelevance-281-63-0,26,0,0.0,0.8461538461538461,0.27905164841872393,1.0,0.8,1.0,0.0,1.0,identity,1.0,0.19999999999999996,0,0
bfcl/bfcl-live-irrelevance-3-0-3,26,0,0.0,0.9538461538461539,0.1393136175098064,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.1393136175098064,0,0
bfcl/bfcl-live-irrelevance-300-74-0,26,0,0.0,0.7846153846153847,0.24129826371320187,0.8,0.6,1.0,0.2,1.0,identity,0.8,0.4,0,0
bfcl/bfcl-live-irrelevance-312-76-10,26,0,0.0,0.9615384615384616,0.11120640226769972,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.11120640226769972,0,0
bfcl/bfcl-live-irrelevance-354-81-15,26,0,0.0,0.9076923076923076,0.21648072737646595,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.21648072737646595,0,0
bfcl/bfcl-live-irrelevance-485-139-0,26,0,0.0,0.9846153846153847,0.07692307692307693,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.07692307692307693,0,0
bfcl/bfcl-live-irrelevance-488-141-1,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
bfcl/bfcl-live-irrelevance-511-151-0,26,0,0.0,0.1769230769230769,0.30039421830410207,0.0,0.0,0.2,0.0,1.0,identity,0.0,0.2,0,0
bfcl/bfcl-live-irrelevance-564-172-5,26,0,0.0,0.08461538461538462,0.22987004303821437,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.22987004303821437,0,0
bfcl/bfcl-live-irrelevance-600-193-2,26,0,0.0,0.9076923076923076,0.20176733920929235,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.20176733920929235,0,0
bfcl/bfcl-live-irrelevance-615-195-3,26,0,0.0,0.5230769230769231,0.4116642510849124,0.6000000000000001,0.0,0.95,0.0,1.0,identity,0.6000000000000001,0.95,0,0
bfcl/bfcl-live-irrelevance-641-203-1,26,0,0.0,0.8153846153846154,0.28781979898261084,1.0,0.6,1.0,0.0,1.0,identity,1.0,0.4,0,0
bfcl/bfcl-live-irrelevance-642-203-2,26,0,0.0,0.32307692307692304,0.36406644819074563,0.2,0.0,0.6,0.0,1.0,identity,0.2,0.6,0,0
bfcl/bfcl-live-irrelevance-653-206-2,26,0,0.0,0.5846153846153845,0.4035346784185847,0.6,0.2,1.0,0.0,1.0,identity,0.6,0.8,0,0
bfcl/bfcl-live-irrelevance-698-227-1,26,0,0.0,0.12307692307692307,0.2606319130168833,0.0,0.0,0.15000000000000002,0.0,1.0,identity,0.0,0.15000000000000002,0,0
bfcl/bfcl-live-irrelevance-721-239-0,26,0,0.0,0.5076923076923078,0.38121574441119593,0.5,0.05,0.8,0.0,1.0,identity,0.5,0.75,0,0
bfcl/bfcl-live-irrelevance-745-256-0,26,0,0.0,0.06923076923076923,0.19955571955496687,0.0,0.0,0.0,0.0,0.8,identity,0.0,0.19955571955496687,0,0
bfcl/bfcl-live-irrelevance-759-270-0,26,0,0.0,0.9461538461538462,0.1622694085363768,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.1622694085363768,0,0
bfcl/bfcl-live-irrelevance-778-287-0,26,0,0.0,0.9384615384615385,0.13323467750529824,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.13323467750529824,0,0
bfcl/bfcl-live-irrelevance-781-290-0,26,0,0.0,0.15384615384615385,0.25605103041681904,0.0,0.0,0.2,0.0,1.0,identity,0.0,0.2,0,0
bfcl/bfcl-live-irrelevance-799-305-3,26,0,0.0,0.9384615384615385,0.17337581030130225,1.0,1.0,1.0,0.2,1.0,identity,1.0,0.17337581030130225,0,0
bfcl/bfcl-live-irrelevance-844-334-0,26,0,0.0,0.9769230769230769,0.08461538461538463,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.08461538461538463,0,0
bfcl/bfcl-live-multiple-13-4-5,26,0,0.0,0.32307692307692304,0.4116642510849124,0.0,0.0,0.8,0.0,1.0,identity,0.0,0.8,0,0
bfcl/bfcl-live-multiple-134-51-0,26,0,0.0,0.9384615384615385,0.13323467750529824,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.13323467750529824,0,0
bfcl/bfcl-live-multiple-179-75-1,26,0,0.0,0.9538461538461539,0.10088366960464616,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.10088366960464616,0,0
bfcl/bfcl-live-multiple-196-88-0,26,0,0.0,0.27692307692307694,0.36406644819074563,0.0,0.0,0.6,0.0,1.0,identity,0.0,0.6,0,0
bfcl/bfcl-live-multiple-198-90-0,26,0,0.0,0.9461538461538462,0.1622694085363768,1.0,1.0,1.0,0.4,1.0,identity,1.0,0.1622694085363768,0,0
bfcl/bfcl-live-multiple-220-94-2,26,0,0.0,0.9846153846153847,0.05329387100211929,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.05329387100211929,0,0
bfcl/bfcl-live-multiple-229-103-0,26,0,0.0,0.9923076923076923,0.03846153846153845,1.0,1.0,1.0,0.8,1.0,identity,1.0,0.03846153846153845,0,0
bfcl/bfcl-live-multiple-236-106-2,26,0,0.0,0.9769230769230769,0.08461538461538463,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.08461538461538463,0,0
bfcl/bfcl-live-multiple-239-107-0,26,0,0.0,0.9384615384615385,0.2202741702042516,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.2202741702042516,0,0
bfcl/bfcl-live-multiple-280-128-3,26,0,0.0,0.7615384615384616,0.3721837047200906,1.0,0.5,1.0,0.0,1.0,identity,1.0,0.5,0,0
bfcl/bfcl-live-multiple-337-133-1,26,0,0.0,0.9769230769230769,0.08461538461538463,1.0,1.0,1.0,0.6,1.0,identity,1.0,0.08461538461538463,0,0
