task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count
aime/aime_78,aime,aime_78,19,7,0.2692307692307692,0.8701754210526316,0.3047182377740763,0.0,1.0,0.9051281923076923,-0.31134272889385567,0.8754895006272024,0.2500648061786025,easy,0,0
aime/aime_79,aime,aime_79,20,6,0.23076923076923078,0.8949999999999999,0.20365411854416302,0.4,1.0,0.9192307692307692,-1.6153846153846136,3.6802688350479005,0.14775944602665972,easy,0,0
aime/aime_80,aime,aime_80,20,6,0.23076923076923078,0.89,0.24062418831031926,0.2,1.0,0.9153846153846155,-1.6923076923076907,4.321406740057886,0.1739477247383875,easy,0,0
aime/aime_81,aime,aime_81,19,7,0.2692307692307692,0.4131578947368421,0.35087938595805923,0.0,1.0,0.3692307692307692,0.23846153846153853,0.6171129575425103,0.6905261478276968,medium,0,0
aime/aime_82,aime,aime_82,20,6,0.23076923076923078,0.8008333499999999,0.24292630564067677,0.2,1.0,0.8237179615384614,-0.21794883699642204,0.6203390361908543,0.21576118766648922,easy,0,0
aime/aime_83,aime,aime_83,20,6,0.23076923076923078,0.85666665,0.22732750652357822,0.333333,1.0,0.8897435769230769,-0.5512821153846155,1.041622458233542,0.4838040401765922,easy,0,0
aime/aime_84,aime,aime_84,19,7,0.2692307692307692,0.8956140526315789,0.18447347473523656,0.4,1.0,0.9237179615384614,-0.6102563076923077,1.3148320322801919,0.4345663979992443,easy,0,0
aime/aime_85,aime,aime_85,20,6,0.23076923076923078,0.77333335,0.30360792845745566,0.0,1.0,0.8025641153846154,-0.24358971153846157,0.6789426782421464,0.49284354302446326,easy,0,0
aime/aime_86,aime,aime_86,19,7,0.2692307692307692,0.8938596315789474,0.21919651247302713,0.25,1.0,0.9224358846153847,-0.775641153846154,1.9320414641679031,0.2998381866679589,easy,0,0
aime/aime_87,aime,aime_87,19,7,0.2692307692307692,0.891228052631579,0.2077003781686935,0.333333,1.0,0.9205128076923076,-0.7948719230769232,1.839911506676381,0.4028989387439522,easy,0,0
aime/aime_88,aime,aime_88,19,7,0.2692307692307692,0.7157894736842106,0.3437611745854301,0.0,1.0,0.7923076923076924,-0.4153846153846154,0.6395264520254316,0.6181595139735999,easy,0,0
aime/aime_89,aime,aime_89,19,7,0.2692307692307692,0.6596491052631578,0.37581553352071895,0.0,1.0,0.6974358846153846,-0.16194329746431446,0.5166980609156934,0.5719247089986196,medium,0,0
aime/aime_i-1,aime,aime_i-1,20,6,0.23076923076923078,0.96,0.10198039027185568,0.6,1.0,0.9692307692307692,-0.30171713098182157,0.8924913094081868,0.39932439428186245,saturated,0,0
