benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
arc-agi-2,arc-agi-2/fc7cae8d_0,fc7cae8d_0,0.9925832106454571,0.00741678935454293,20,hard,0.0624893688480152,0.08,0.2039607805437113
arc-agi-2,arc-agi-2/409aa875_0,409aa875_0,0.9925832106454571,0.00741678935454293,20,hard,0.0774138925939227,0.1,0.2569046515733026
lawbench,lawbench/lawbench-2-10-1-one-shot,lawbench-2-10-1-one-shot,0.9928155493298585,0.007184450670141507,12,medium,0.4780959495394945,0.5301384166666666,0.3790814598949366
crustbench,crustbench/crustbench-avalanche,crustbench-avalanche,0.9929599717647251,0.007040028235274942,22,easy,0.8128041114579598,0.8295454545454546,0.3439936214092464
arc-agi-2,arc-agi-2/136b0064_0,136b0064_0,0.9930902152286974,0.006909784771302552,19,hard,0.1739263871113432,0.231578947368421,0.3961028994153006
lawbench,lawbench/lawbench-2-10-15-zero-shot,lawbench-2-10-15-zero-shot,0.993169384172846,0.006830615827154052,12,medium,0.478333759890107,0.5337411666666666,0.3808572616759532
kumo,kumo/cookingenv-t4-a6-v1-s0,cookingenv-t4-a6-v1-s0,0.9931735124449058,0.006826487555094185,19,saturated,0.9870628314599524,0.9824561578947368,0.0744322183241859
kumo,kumo/networkenv-t4-a6-v1-s0,networkenv-t4-a6-v1-s0,0.9932303169789303,0.006769683021069728,19,saturated,0.9591426516710678,0.9605263157894736,0.1220212959933645
kumo,kumo/controlenv-t4-a6-v1-s0,controlenv-t4-a6-v1-s0,0.9932303169789303,0.006769683021069728,20,easy,0.9290645637205102,0.9375,0.2218529918662356
gpqa-diamond,gpqa-diamond/172,172,0.9933175687444507,0.006682431255549348,12,saturated,0.9737073578778191,0.9833333333333334,0.0552770798392566
gpqa-diamond,gpqa-diamond/13,13,0.9933175687444507,0.006682431255549348,13,easy,0.848538588024456,0.8769230769230769,0.2777764628502737
gpqa-diamond,gpqa-diamond/77,77,0.9933468463447864,0.006653153655213573,20,saturated,0.9691638849101036,0.96,0.1356465996625053
mmau,mmau/71f95ca1-a409-47b0-af02-80a272f776d5,71f95ca1-a409-47b0-af02-80a272f776d5,0.9936491427225119,0.006350857277488076,20,easy,0.924706453219074,0.95,0.1774823934929885
